/* DATA DESCRIPTION:
Citation:	Keigwin, LD; Corliss, BH (1986): (Appendix 1) Oxygen and carbon isotopic composition in foraminifera from DSDP Hole 40-363 sediments. doi:10.1594/PANGAEA.718956, 
	In Supplement to: Keigwin, Lloyd D; Corliss, Bruce H (1986): Stable isotopes in late middle Eocene to Oligocene foraminifera. Geological Society of America Bulletin, 97(3), 335-345, doi:10.1130/0016-7606(1986)97<335:SIILME>2.0.CO;2
Project(s):	Deep Sea Drilling Project (DSDP) (URI: http://www.deepseadrilling.org/)
Coverage:	LATITUDE: -19.645800 * LONGITUDE: 9.046700
	MINIMUM DEPTH, sediment: 55.1 m * MAXIMUM DEPTH, sediment: 278.7 m
Event(s):	40-363 * LATITUDE: -19.645800 * LONGITUDE: 9.046700 * DATE/TIME: 1975-01-24T00:00:00 * ELEVATION: -2248.0 m * RECOVERY: 224.90 m * PENETRATION: 715.00 m * LOCATION: South Atlantic/RIDGE * CAMPAIGN: Leg40 (URI: doi:10.2973/dsdp.proc.40.1978) * BASIS: Glomar Challenger (URI: http://odp.pangaea.de/glomar.html) * DEVICE: Drilling * COMMENT: 40 cores; 380 m cored; 0 m drilled; 59.2 % recovery
Parameter(s):	DEPTH, sediment [m] (Depth) * Geocode
	Sample code/label (Label) * PI: Keigwin, Lloyd D * METHOD: ODP sample designation (URI: hdl:10013/epic.27914.d001)
	Oridorsalis tener, d18O [per mil PDB] (O. tener d18O) * PI: Keigwin, Lloyd D * METHOD: Isotope ratio mass spectrometry (URI: http://en.wikipedia.org/wiki/Isotope_ratio_mass_spectrometry)
	Oridorsalis tener, d13C [per mil PDB] (O. tener d13C) * PI: Keigwin, Lloyd D * METHOD: Isotope ratio mass spectrometry (URI: http://en.wikipedia.org/wiki/Isotope_ratio_mass_spectrometry)
	Cibicidoides ungerianus, d18O [per mil PDB] (C. ungerianus d18O) * PI: Keigwin, Lloyd D * METHOD: Isotope ratio mass spectrometry (URI: http://en.wikipedia.org/wiki/Isotope_ratio_mass_spectrometry)
	Cibicidoides ungerianus, d13C [per mil PDB] (C. ungerianus d13C) * PI: Keigwin, Lloyd D * METHOD: Isotope ratio mass spectrometry (URI: http://en.wikipedia.org/wiki/Isotope_ratio_mass_spectrometry)
	Bulimina alazanensis, d18O [per mil PDB] (B. alazanensis d18O) * PI: Keigwin, Lloyd D * METHOD: Isotope ratio mass spectrometry (URI: http://en.wikipedia.org/wiki/Isotope_ratio_mass_spectrometry)
	Bulimina alazanensis, d13C [per mil PDB] (B. alazanensis d13C) * PI: Keigwin, Lloyd D * METHOD: Isotope ratio mass spectrometry (URI: http://en.wikipedia.org/wiki/Isotope_ratio_mass_spectrometry)
	Pseudohastigerina spp., d18O [per mil PDB] (Pseudohastigerina d18O) * PI: Keigwin, Lloyd D * METHOD: Isotope ratio mass spectrometry (URI: http://en.wikipedia.org/wiki/Isotope_ratio_mass_spectrometry) * COMMENT: 124-180 µm
	Pseudohastigerina spp., d13C [per mil PDB] (Pseudohastigerina d13C) * PI: Keigwin, Lloyd D * METHOD: Isotope ratio mass spectrometry (URI: http://en.wikipedia.org/wiki/Isotope_ratio_mass_spectrometry) * COMMENT: 124-180 µm
	Pseudohastigerina spp., d18O [per mil PDB] (Pseudohastigerina d18O) * PI: Keigwin, Lloyd D * METHOD: Isotope ratio mass spectrometry (URI: http://en.wikipedia.org/wiki/Isotope_ratio_mass_spectrometry) * COMMENT: <124 µm
	Pseudohastigerina spp., d13C [per mil PDB] (Pseudohastigerina d13C) * PI: Keigwin, Lloyd D * METHOD: Isotope ratio mass spectrometry (URI: http://en.wikipedia.org/wiki/Isotope_ratio_mass_spectrometry) * COMMENT: <124 µm
	Chiloguembelina cubensis, d18O [per mil PDB] (C. cubensis d18O) * PI: Keigwin, Lloyd D * METHOD: Isotope ratio mass spectrometry (URI: http://en.wikipedia.org/wiki/Isotope_ratio_mass_spectrometry) * COMMENT: <124 µm, vs. PDB
	Chiloguembelina cubensis, d13C [per mil PDB] (C. cubensis d13C) * PI: Keigwin, Lloyd D * METHOD: Isotope ratio mass spectrometry (URI: http://en.wikipedia.org/wiki/Isotope_ratio_mass_spectrometry) * COMMENT: <124 µm, vs. PDB
	Globigerina ampliapertura, d18O [per mil PDB] (G. ampliapertura d18O) * PI: Keigwin, Lloyd D * METHOD: Isotope ratio mass spectrometry (URI: http://en.wikipedia.org/wiki/Isotope_ratio_mass_spectrometry) * COMMENT: 180-300 µm
	Globigerina ampliapertura, d13C [per mil PDB] (G. ampliapertura d13C) * PI: Keigwin, Lloyd D * METHOD: Isotope ratio mass spectrometry (URI: http://en.wikipedia.org/wiki/Isotope_ratio_mass_spectrometry) * COMMENT: 180-300 µm
License:	Creative Commons Attribution 3.0 Unported (CC-BY)
Size:	228 data points
*/
Depth [m]	Label	O. tener d18O [per mil PDB]	O. tener d13C [per mil PDB]	C. ungerianus d18O [per mil PDB]	C. ungerianus d13C [per mil PDB]	B. alazanensis d18O [per mil PDB]	B. alazanensis d13C [per mil PDB]	Pseudohastigerina d18O [per mil PDB] (124-180 µm)	Pseudohastigerina d13C [per mil PDB] (124-180 µm)	Pseudohastigerina d18O [per mil PDB] (<124 µm)	Pseudohastigerina d13C [per mil PDB] (<124 µm)	C. cubensis d18O [per mil PDB]	C. cubensis d13C [per mil PDB]	G. ampliapertura d18O [per mil PDB]	G. ampliapertura d13C [per mil PDB]
55.13	40-363-2-4,63	1.62	0.17	1.24	0.94										
69.67	40-363-3-1,67	1.68	-1.03	1.32	0.31										
75.67	40-363-3-5,67	1.82	-0.89	1.65	0.57										
91.66	40-363-4-3,66	1.90	-0.47	1.39	0.22										
109.45	40-363-5-2,95	1.84	-0.92	1.48	0.31										
113.67	40-363-5-5,67	1.68	-0.30	1.24	0.58										
127.00	40-363-6-1,100	1.93	0.26	1.55	0.93										
131.16	40-363-6-4,66	1.64	0.21	1.30	0.93										
132.50	40-363-6-CC	1.57	-0.13	1.65	1.19							-0.05	1.35	0.41	1.59
145.65	40-363-7-1,65	1.51	-0.14	1.18	0.80							0.11	1.51	0.47	1.58
164.76	40-363-8-1,76	1.82	0.17	1.62	1.11										
166.15	40-363-8-2,65	2.11	0.23	1.63	1.06					0.19	1.29	0.07	1.75	0.44	1.75
166.86	40-363-8-2,136	1.36	-0.07	1.76	1.16										
167.50	40-363-8-CC	2.01	0.44	1.78	1.57							-0.01	1.59	0.34	1.66
184.72	40-363-9-2, 22	1.28	0.06	1.25	1.21	1.28	0.61							-0.13	1.77
184.96	40-363-9-2,46	1.07	0.11	1.48	1.16										
185.46	40-363-9-2,96	1.21	0.06	1.33	1.17									-0.27	1.86
185.84	40-363-9-2,134	1.26	0.03	1.23	0.78	1.18	0.58							-0.05	1.75
186.50	40-363-9-3, 50	1.19	-0.05	1.09	1.02	0.99	0.51							-0.41	1.51
186.84	40-363-9-3,84	0.93	0.09	1.14	1.18							-0.45	1.67	-0.49	1.88
187.07	40-363-9-3,107	1.08	-0.01	1.10	0.90									-0.47	1.78
187.24	40-363-9-3,124	1.14	0.07	1.03	0.99							-0.35	1.53	-0.29	1.83
187.98	40-363-9-4,48	1.46	0.00	1.14	0.77										
188.50	40-363-9-4,100	0.84	-0.36	0.74	0.62							-0.43	1.16	-0.69	1.34
188.74	40-363-9-4,124	0.99	-0.35	0.90	0.87										
202.55	40-363-10-1,55	1.24	-0.82	1.32	0.48			-0.15	0.87						
205.97	40-363-10-3, 97	0.85	0.22	0.79	1.04			0.16	1.48						
207.11	40-363-10-4,61	1.09	0.08	0.68	0.90			-0.09	1.20						
209.02	40-363-10-5,102	0.85	0.27					0.04	1.68	0.17	1.47			0.26	1.04
210.49	40-363-10-6,99							0.29	1.91	0.31	1.69				
211.50	40-363-10-CC	0.40	0.29	0.33	0.99					-0.11	1.46				
229.19	40-363-11-6,69	0.39	0.04												
245.17	40-363-12-4,67	-0.21	0.08												
259.85	40-363-13-1,85	-0.38	0.50												
264.17	40-363-13-4,67	-0.55	-0.06												
278.67	40-363-14-1,67	-0.46	-0.60												
