/* DATA DESCRIPTION:
Citation:	Keigwin, LD; Corliss, BH (1986): (Appendix 1) Oxygen and carbon isotopic composition in foraminifera from DSDP Hole 9-77B sediments. doi:10.1594/PANGAEA.718963, 
	In Supplement to: Keigwin, Lloyd D; Corliss, Bruce H (1986): Stable isotopes in late middle Eocene to Oligocene foraminifera. Geological Society of America Bulletin, 97(3), 335-345, doi:10.1130/0016-7606(1986)97<335:SIILME>2.0.CO;2
Project(s):	Deep Sea Drilling Project (DSDP) (URI: http://www.deepseadrilling.org/)
Coverage:	LATITUDE: 0.481700 * LONGITUDE: -133.228300
	MINIMUM DEPTH, sediment: 329.6 m * MAXIMUM DEPTH, sediment: 476.3 m
Event(s):	9-77B * LATITUDE: 0.481700 * LONGITUDE: -133.228300 * DATE/TIME: 1969-12-15T00:00:00 * ELEVATION: -4291.0 m * RECOVERY: 434.50 m * PENETRATION: 481.20 m * LOCATION: North Pacific/HILL * CAMPAIGN: Leg9 (URI: doi:10.2973/dsdp.proc.9.1972) * BASIS: Glomar Challenger (URI: http://odp.pangaea.de/glomar.html) * DEVICE: Drilling * COMMENT: 53 cores; 463 m cored; 3.1 m drilled; 93.9 % recovery
Parameter(s):	DEPTH, sediment [m] (Depth) * Geocode
	Sample code/label (Label) * PI: Keigwin, Lloyd D * METHOD: ODP sample designation (URI: hdl:10013/epic.27914.d001)
	Cibicidoides spp., d18O [per mil PDB] (Cibicidoides spp. d18O) * PI: Keigwin, Lloyd D * METHOD: Isotope ratio mass spectrometry (URI: http://en.wikipedia.org/wiki/Isotope_ratio_mass_spectrometry)
	Cibicidoides spp., d13C [per mil PDB] (Cibicidoides spp. d13C) * PI: Keigwin, Lloyd D * METHOD: Isotope ratio mass spectrometry (URI: http://en.wikipedia.org/wiki/Isotope_ratio_mass_spectrometry)
	Oridorsalis tener, d18O [per mil PDB] (O. tener d18O) * PI: Keigwin, Lloyd D * METHOD: Isotope ratio mass spectrometry (URI: http://en.wikipedia.org/wiki/Isotope_ratio_mass_spectrometry)
	Oridorsalis tener, d13C [per mil PDB] (O. tener d13C) * PI: Keigwin, Lloyd D * METHOD: Isotope ratio mass spectrometry (URI: http://en.wikipedia.org/wiki/Isotope_ratio_mass_spectrometry)
	Globigerina angustiumbilicata, d18O [per mil PDB] (G. angustiumbilicata d18O) * PI: Keigwin, Lloyd D * METHOD: Isotope ratio mass spectrometry (URI: http://en.wikipedia.org/wiki/Isotope_ratio_mass_spectrometry)
	Globigerina angustiumbilicata, d13C [per mil PDB] (G. angustiumbilicata d13C) * PI: Keigwin, Lloyd D * METHOD: Isotope ratio mass spectrometry (URI: http://en.wikipedia.org/wiki/Isotope_ratio_mass_spectrometry)
	Globorotalia opima, d18O [per mil PDB] (G. opima d18O) * PI: Keigwin, Lloyd D * METHOD: Isotope ratio mass spectrometry (URI: http://en.wikipedia.org/wiki/Isotope_ratio_mass_spectrometry)
	Globorotalia opima, d13C [per mil PDB] (G. opima d13C) * PI: Keigwin, Lloyd D * METHOD: Isotope ratio mass spectrometry (URI: http://en.wikipedia.org/wiki/Isotope_ratio_mass_spectrometry)
	Chiloguembelina cubensis, d18O [per mil PDB] (C. cubensis d18O) * PI: Keigwin, Lloyd D * METHOD: Isotope ratio mass spectrometry (URI: http://en.wikipedia.org/wiki/Isotope_ratio_mass_spectrometry)
	Chiloguembelina cubensis, d13C [per mil PDB] (C. cubensis d13C) * PI: Keigwin, Lloyd D * METHOD: Isotope ratio mass spectrometry (URI: http://en.wikipedia.org/wiki/Isotope_ratio_mass_spectrometry)
	Globigerina ampliapertura, d18O [per mil PDB] (G. ampliapertura d18O) * PI: Keigwin, Lloyd D * METHOD: Isotope ratio mass spectrometry (URI: http://en.wikipedia.org/wiki/Isotope_ratio_mass_spectrometry)
	Globigerina ampliapertura, d13C [per mil PDB] (G. ampliapertura d13C) * PI: Keigwin, Lloyd D * METHOD: Isotope ratio mass spectrometry (URI: http://en.wikipedia.org/wiki/Isotope_ratio_mass_spectrometry)
	Globigerina euapertura, d18O [per mil PDB] (G. euapertura d18O) * PI: Keigwin, Lloyd D * METHOD: Isotope ratio mass spectrometry (URI: http://en.wikipedia.org/wiki/Isotope_ratio_mass_spectrometry)
	Globigerina euapertura, d13C [per mil PDB] (G. euapertura d13C) * PI: Keigwin, Lloyd D * METHOD: Isotope ratio mass spectrometry (URI: http://en.wikipedia.org/wiki/Isotope_ratio_mass_spectrometry)
	Catapsydrax dissimilis, d18O [per mil PDB] (C. dissimilis d18O) * PI: Keigwin, Lloyd D * METHOD: Isotope ratio mass spectrometry (URI: http://en.wikipedia.org/wiki/Isotope_ratio_mass_spectrometry)
	Catapsydrax dissimilis, d13C [per mil PDB] (C. dissimilis d13C) * PI: Keigwin, Lloyd D * METHOD: Isotope ratio mass spectrometry (URI: http://en.wikipedia.org/wiki/Isotope_ratio_mass_spectrometry)
	Subbotina linaperta, d18O [per mil PDB] (S. linaperta d18O) * PI: Keigwin, Lloyd D * METHOD: Isotope ratio mass spectrometry (URI: http://en.wikipedia.org/wiki/Isotope_ratio_mass_spectrometry)
	Subbotina linaperta, d13C [per mil PDB] (S. linaperta d13C) * PI: Keigwin, Lloyd D * METHOD: Isotope ratio mass spectrometry (URI: http://en.wikipedia.org/wiki/Isotope_ratio_mass_spectrometry)
License:	Creative Commons Attribution 3.0 Unported (CC-BY)
Size:	488 data points
*/
Depth [m]	Label	Cibicidoides spp. d18O [per mil PDB]	Cibicidoides spp. d13C [per mil PDB]	O. tener d18O [per mil PDB]	O. tener d13C [per mil PDB]	G. angustiumbilicata d18O [per mil PDB]	G. angustiumbilicata d13C [per mil PDB]	G. opima d18O [per mil PDB]	G. opima d13C [per mil PDB]	C. cubensis d18O [per mil PDB]	C. cubensis d13C [per mil PDB]	G. ampliapertura d18O [per mil PDB]	G. ampliapertura d13C [per mil PDB]	G. euapertura d18O [per mil PDB]	G. euapertura d13C [per mil PDB]	C. dissimilis d18O [per mil PDB]	C. dissimilis d13C [per mil PDB]	S. linaperta d18O [per mil PDB]	S. linaperta d13C [per mil PDB]
329.62	9-77B-36-3,50	1.68	0.79			-0.56	1.02												
329.62	9-77B-36-3,50	1.61	0.70																
335.80	9-77B-37-1,58					-0.69	0.98												
337.23	9-77B-37-2,51	1.32	0.56			-0.67	0.90												
337.23	9-77B-37-2,51	1.35	0.64																
338.72	9-77B-37-3,50					-0.67	0.93												
340.22	9-77B-37-4,50	1.38	0.56			-0.61	0.90												
340.22	9-77B-37-4,50	1.28	0.45																
342.98	9-77B-37-6,46	1.44	0.86			-0.41	1.00												
342.98	9-77B-37-6,46	1.36	0.72																
344.70	9-77B-38-1,50	1.46	0.74																
347.63	9-77B-38-3,43	1.64	0.77																
349.22	9-77B-38-4,50	1.62	0.60			-0.33	0.91												
350.72	9-77B-38-5,50		0.78			-0.35	0.95												
354.12	9-77B-39-1,50					-0.39	0.92	0.94	0.98										
355.61	9-77B-39-2,49					-0.47	0.70	0.71	0.88										
357.12	9-77B-39-3,50	1.82	0.54			-0.47	0.40	0.79	0.56										
357.12	9-77B-39-3,50	1.96	0.46																
358.63	9-77B-39-4,51	2.08	0.74			-0.24	0.68	0.95	0.80										
360.13	9-77B-39-5,51	1.99	0.77			-0.30	0.77	0.78	0.87										
361.64	9-77B-39-6,52	1.69	0.57			-0.64	0.45	0.57	0.66										
364.71	9-77B-40-2,59	2.03	0.39			-0.19	0.52	0.83	0.72										
366.17	9-77B-40-3,55	2.23	0.83			-0.34	0.58	0.93	0.81										
367.65	9-77B-40-4,53	1.86	0.62			-0.38	0.40	0.66	0.65										
372.39	9-77B-41-1,57					-0.35	0.60	0.77	0.81										
372.39	9-77B-41-1,57							0.65	0.46										
373.89	9-77B-41-2,57	1.45	0.05			-0.08	0.51	0.65	0.33										
375.35	9-77B-41-3,53					-0.23	0.59	0.67	0.62										
376.87	9-77B-41-4,54	1.99	0.51			-0.20	0.48	0.86	0.49										
378.37	9-77B-41-5,54					-0.41	0.50	0.71	0.57										
378.37	9-77B-41-5,54							0.55	0.39										
379.82	9-77B-41-6,52	1.69	0.25					0.58	0.36										
381.55	9-77B-42-1,54					-0.34	0.44	0.90	0.31										
381.55	9-77B-42-1,54							0.81	0.40										
383.05	9-77B-42-2,54	1.50	0.57			-0.26	0.59	0.87	0.51										
384.48	9-77B-42-3,45					-0.27	0.43	0.80	0.20										
386.09	9-77B-42-4,55	1.88	0.52			-0.15	0.46	0.92	0.38										
387.57	9-77B-42-5,55					-0.20	0.89	0.82	0.96										
389.03	9-77B-42-6,53	1.68	0.41					0.67	0.43										
390.65	9-77B-43-1,54					-0.39	0.44	0.62	0.63										
392.18	9-77B-43-2,55	1.77	0.57			-0.42	0.54	0.58	0.58										
393.67	9-77B-43-3,54					-0.30	0.29	0.87	0.38										
395.16	9-77B-43-4,54	1.86	0.63			-0.42	0.47	0.67	0.46										
396.55	9-77B-43-5,42					-0.03	0.49	0.82	0.49							1.46	0.43		
398.05	9-77B-43-6,42					-0.33	0.36	0.76	0.27							0.81	0.30		
399.75	9-77B-44-1,54					-0.43	0.42	0.76	0.53										
401.47	9-77B-44-2,65	1.50	0.18			-0.18	0.42	0.54	0.28										
402.74	9-77B-44-3,51					-0.38	0.69	0.66	0.82										
404.24	9-77B-44-4,51	1.63	0.77			-0.43	0.59	0.64	0.56										
405.73	9-77B-44-5,50					-0.41	0.45	0.62	0.18										
407.13	9-77B-44-6,41	1.38	0.47			-0.53	0.52	0.48	0.29										
408.81	9-77B-45-1,51							0.81	0.23										
410.34	9-77B-45-2,54	1.68	0.79					0.34	0.37										
410.34	9-77B-45-2,54	1.37	0.69																
411.75	9-77B-45-3,45							0.47	0.05										
413.27	9-77B-45-4,45	1.56	0.30			-0.28	0.56	0.48	0.35	-0.04	1.14								
414.86	9-77B-45-5,53					-0.26	0.44	0.71	0.29	0.00	1.20								
416.33	9-77B-45-6,53	1.23	0.21					0.58	-0.04										
419.64	9-77B-46-2,54	1.42	0.64																
422.64	9-77B-46-4,54	1.29	0.77																
425.42	9-77B-46-6,32	1.42	1.00																
425.52	9-77B-46-6,42	1.81	0.30																
425.64	9-77B-46-6,54	1.71	0.82																
426.94	9-77B-47-1,54									-0.03	1.42								
428.63	9-77B-47-2,43	1.18	0.99																
430.25	9-77B-47-3,52									0.07	1.39								
431.78	9-77B-47-4,55	1.51	0.69							0.00	1.53								
436.83	9-77B-48-1,103									-0.21	1.30								
438.72	9-77B-48-2,139	1.44	0.87							-0.02	1.37								
439.55	9-77B-48-3,73									0.11	1.44	-0.14	0.92			1.19	0.61		
441.13	9-77B-48-4,80	1.24	0.73							-0.07	1.39								
442.08	9-77B-48-5,28	1.59	0.89																
442.15	9-77B-48-5,33									0.01	1.38	-0.17	0.78			1.38	0.51		
443.88	9-77B-48-6,55	1.36	0.82							-0.11	1.39					1.15	0.44	0.57	0.35
445.57	9-77B-49-1,54					-0.40	0.63												
446.98	9-77B-49-2,45	1.60	0.75			-0.26	0.85												
448.48	9-77B-49-3,45					-0.17	0.83			0.14	1.30								
449.90	9-77B-49-4,37	1.19	0.71			-0.27	0.69												
451.32	9-77B-49-5,32	1.44	0.80																
451.45	9-77B-49-5,42					-0.39	0.57												
453.04	9-77B-49-6,54	1.35	0.76																
454.38	9-77B-50-1,28	1.23	0.84																
455.10	9-77B-50-1,100	1.23	0.58	1.48	-0.34														
456.68	9-77B-50-2,106					-0.23	0.90												
457.75	9-77B-50-3,61					-0.14	0.89												
458.10	9-77B-50-3,100	0.85	0.60	1.65	-0.66														
461.10	9-77B-50-5,100	1.36	0.66	1.64	-0.92														
461.17	9-77B-50-5,104					-0.02	0.90												
464.20	9-77B-51-1,100			1.69	-0.13														
465.04	9-77B-51-2,34	1.78	1.38																
466.97	9-77B-51-3,74									-0.23	1.82			-0.35	1.22	1.20	1.04	0.50	1.06
467.20	9-77B-51-3,100	1.24	0.93	1.81	0.00														
468.35	9-77B-51-4,63									-0.14	1.97			0.00	1.13	1.26	1.03	0.65	1.01
469.95	9-77B-51-5,75	1.64	0.93							-0.25	1.64					1.33	1.08	0.70	1.01
470.20	9-77B-51-5,100			1.97	-0.20														
