/* DATA DESCRIPTION:
Citation:	Dickens, GR; Backman, J (2013): (Table S6) Reported, corrected and composite depths for Gamma Ray Attentuation Porosity Evaluator (GRAPE) data at DSDP Hole 86-577A. doi:10.1594/PANGAEA.809122, 
	In Supplement to: Dickens, Gerald Roy; Backman, Jan (2013): Core alignment and composite depth scale for the lower Paleogene through uppermost Cretaceous interval at Deep Sea Drilling Project Site 577. Newsletters on Stratigraphy
Project(s):	Deep Sea Drilling Project (DSDP) (URI: http://www.deepseadrilling.org/)
Coverage:	LATITUDE: 32.442200 * LONGITUDE: 157.723200
	MINIMUM DEPTH, sediment/rock: 66.4 m * MAXIMUM DEPTH, sediment/rock: 122.9 m
Event(s):	86-577A * LATITUDE: 32.442200 * LONGITUDE: 157.723200 * DATE/TIME: 1982-05-23T00:00:00 * ELEVATION: -2675.0 m * RECOVERY: 110.80 m * PENETRATION: 123.40 m * LOCATION: North Pacific * CAMPAIGN: Leg86 (URI: doi:10.2973/dsdp.proc.86.1985) * BASIS: Glomar Challenger (URI: http://odp.pangaea.de/glomar.html) * DEVICE: Drilling * COMMENT: 13 cores; 123.4 m cored; 0 m drilled; 89.8 % recovery
Comment:	DEPTH, sediment is the reported depth [mbsf], measured after sliding core sections to 150 cm.
Parameter(s):	Sample code/label (Label) * PI: Dickens, Gerald Roy (eMail: jerry@rice.edu) * METHOD: ODP sample designation (URI: hdl:10013/epic.27914.d001)
	DEPTH, sediment/rock [m] (Depth) * Geocode
	Void correction [m] (Void corr) * PI: Dickens, Gerald Roy (eMail: jerry@rice.edu)
	Depth, sediment revised [m] (Depth revised) * PI: Dickens, Gerald Roy (eMail: jerry@rice.edu) * COMMENT: corrected depths [mbsf] after moving tops of core sections back to 0 cm
	Offset [m] (Offset) * PI: Dickens, Gerald Roy (eMail: jerry@rice.edu)
	Depth, composite [mcd] (Depth c) * PI: Dickens, Gerald Roy (eMail: jerry@rice.edu) * COMMENT: after adding core offsets (Table 2)
	Density, wet bulk [g/cm**3] (WBD) * PI: Dickens, Gerald Roy (eMail: jerry@rice.edu) * METHOD: Gamma-ray attenuation porosity evaluator (GRAPE) * COMMENT: GRAPE data reported as density (g/cm**3), although it is a proxy measurement for density
	Density, wet bulk [g/cm**3] (WBD) * PI: Dickens, Gerald Roy (eMail: jerry@rice.edu) * METHOD: Gamma-ray attenuation porosity evaluator (GRAPE) * COMMENT: problematic GRAPE data, typically caused by void space in core sections
License:	Creative Commons Attribution 3.0 Unported (CC-BY)
Size:	25914 data points
*/
Label	Depth [m]	Void corr [m]	Depth revised [m]	Offset [m]	Depth c [mcd]	WBD [g/cm**3] (GRAPE data reported as densit...)	WBD [g/cm**3] (problematic GRAPE data, typic...)
86-577A-8-1,1.1	66.41	-0.10	66.31	-0.40	65.91		0.00
86-577A-8-1,2.3	66.42	-0.10	66.32	-0.40	65.92		0.00
86-577A-8-1,3.4	66.43	-0.10	66.33	-0.40	65.93		0.00
86-577A-8-1,4.6	66.45	-0.10	66.35	-0.40	65.95		0.00
86-577A-8-1,5.7	66.46	-0.10	66.36	-0.40	65.96		0.00
86-577A-8-1,6.9	66.47	-0.10	66.37	-0.40	65.97		0.00
86-577A-8-1,8	66.48	-0.10	66.38	-0.40	65.98		0.00
86-577A-8-1,9.1	66.49	-0.10	66.39	-0.40	65.99		1.44
86-577A-8-1,10.3	66.50	-0.10	66.40	-0.40	66.00	1.64	
86-577A-8-1,11.4	66.51	-0.10	66.41	-0.40	66.01	1.76	
86-577A-8-1,12.6	66.53	-0.10	66.43	-0.40	66.03	1.63	
86-577A-8-1,13.7	66.54	-0.10	66.44	-0.40	66.04	1.66	
86-577A-8-1,14.8	66.55	-0.10	66.45	-0.40	66.05	1.73	
86-577A-8-1,16	66.56	-0.10	66.46	-0.40	66.06	1.66	
86-577A-8-1,17.1	66.57	-0.10	66.47	-0.40	66.07	1.68	
86-577A-8-1,18.3	66.58	-0.10	66.48	-0.40	66.08	1.70	
86-577A-8-1,19.4	66.59	-0.10	66.49	-0.40	66.09	1.73	
86-577A-8-1,20.6	66.61	-0.10	66.51	-0.40	66.11	1.68	
86-577A-8-1,21.7	66.62	-0.10	66.52	-0.40	66.12	1.71	
86-577A-8-1,22.8	66.63	-0.10	66.53	-0.40	66.13	1.70	
86-577A-8-1,24	66.64	-0.10	66.54	-0.40	66.14	1.61	
86-577A-8-1,25.1	66.65	-0.10	66.55	-0.40	66.15	1.66	
86-577A-8-1,26.3	66.66	-0.10	66.56	-0.40	66.16	1.67	
86-577A-8-1,27.4	66.67	-0.10	66.57	-0.40	66.17	1.67	
86-577A-8-1,28.6	66.69	-0.10	66.59	-0.40	66.19	1.67	
86-577A-8-1,29.7	66.70	-0.10	66.60	-0.40	66.20	1.70	
86-577A-8-1,30.8	66.71	-0.10	66.61	-0.40	66.21	1.66	
86-577A-8-1,32	66.72	-0.10	66.62	-0.40	66.22	1.59	
86-577A-8-1,33.1	66.73	-0.10	66.63	-0.40	66.23	1.74	
86-577A-8-1,34.3	66.74	-0.10	66.64	-0.40	66.24	1.71	
86-577A-8-1,35.4	66.75	-0.10	66.65	-0.40	66.25	1.61	
86-577A-8-1,36.5	66.77	-0.10	66.67	-0.40	66.27	1.70	
86-577A-8-1,37.7	66.78	-0.10	66.68	-0.40	66.28	1.67	
86-577A-8-1,38.8	66.79	-0.10	66.69	-0.40	66.29	1.69	
