/* DATA DESCRIPTION:
Citation:	Dickens, GR; Backman, J (2013): (Table S8) Recalibrated depth and ages for previously published stable isotope data from DSDP Site 86-577. doi:10.1594/PANGAEA.809130, 
	In Supplement to: Dickens, Gerald Roy; Backman, Jan (2013): Core alignment and composite depth scale for the lower Paleogene through uppermost Cretaceous interval at Deep Sea Drilling Project Site 577. Newsletters on Stratigraphy
Related to:	Shackleton, Nicholas J; Hall, Michael A; Bleil, Ulrich (1985): Carbon-isotope stratigraphy, Site 577. In: Heath GR; Burckle LH; et al. (eds.), Initial Reports of the Deep Sea Drilling Project, Washington (U.S. Govt. Printing Office), 86, 503-510, doi:10.2973/dsdp.proc.86.119.1985
	Westerhold, Thomas; Röhl, Ursula; Laskar, Jacques (2012): Time scale controversy: Accurate orbital calibration of early Paleogene. Geochemistry Geophysics Geosystems, 13, Q06015, doi:10.1029/2012GC004096
	Westerhold, Thomas; Röhl, Ursula; Raffi, Isabella; Fornaciari, Eliana; Monechi, Simonetta; Reale, Viviana; Bowles, Julie; Evans, Helen F (2008): Astronomical calibration of the Paleocene time. Palaeogeography, Palaeoclimatology, Palaeoecology, 257(4), 377-403, doi:10.1016/j.palaeo.2007.09.016
Original version:	Shackleton, Nicholas J; Hall, Michael A; Bleil, Ulrich (1985): (Table 1) Carbon- and oxygen-isotopes for bulk sediment carbonate at DSDP Holes 86-577 and 86-577A. doi:10.1594/PANGAEA.802303
Project(s):	Deep Sea Drilling Project (DSDP) (URI: http://www.deepseadrilling.org/)
Coverage:	MEDIAN LATITUDE: 32.442000 * MEDIAN LONGITUDE: 157.723250 * SOUTH-BOUND LATITUDE: 32.441800 * WEST-BOUND LONGITUDE: 157.723200 * NORTH-BOUND LATITUDE: 32.442200 * EAST-BOUND LONGITUDE: 157.723300
	MINIMUM DEPTH, sediment/rock: 68.3 m * MAXIMUM DEPTH, sediment/rock: 104.2 m
Event(s):	86-577 * LATITUDE: 32.441800 * LONGITUDE: 157.723300 * DATE/TIME: 1982-05-23T00:00:00 * ELEVATION: -2675.0 m * RECOVERY: 111.10 m * PENETRATION: 118.80 m * LOCATION: North Pacific * CAMPAIGN: Leg86 (URI: doi:10.2973/dsdp.proc.86.1985) * BASIS: Glomar Challenger (URI: http://odp.pangaea.de/glomar.html) * DEVICE: Drilling * COMMENT: 13 cores; 118.8 m cored; 0 m drilled; 93.5 % recovery
	86-577A * LATITUDE: 32.442200 * LONGITUDE: 157.723200 * DATE/TIME: 1982-05-23T00:00:00 * ELEVATION: -2675.0 m * RECOVERY: 110.80 m * PENETRATION: 123.40 m * LOCATION: North Pacific * CAMPAIGN: Leg86 (URI: doi:10.2973/dsdp.proc.86.1985) * BASIS: Glomar Challenger (URI: http://odp.pangaea.de/glomar.html) * DEVICE: Drilling * COMMENT: 13 cores; 123.4 m cored; 0 m drilled; 89.8 % recovery
Comment:	Placement of previously published bulk and benthic foraminifera stable carbon isotope data for Upper Cretaceous and Lower Paleogene sediment at DSDP Site 577 according to composite depth scale and an updated time scale (Westerhold et al., 2008, 2012). Isotope data were reported by Shackleton et al. (1985). DEPTH, sediment is the depth [mbsf] reported by Shackleton et al. (1985). Note that depths for CC samples are not consistent with core logs.
Parameter(s):	Event label (Event) * Metadata
	Sample code/label (Label) * PI: Dickens, Gerald Roy (eMail: jerry@rice.edu) * METHOD: ODP sample designation (URI: hdl:10013/epic.27914.d001) * COMMENT: we have relabled core catcher (CC) samples as an additional section for purposes of math; given in brackets
	DEPTH, sediment/rock [m] (Depth) * Geocode
	Depth, top/min [m] (Depth top) * PI: Dickens, Gerald Roy (eMail: jerry@rice.edu) * COMMENT: core top [mbsf], reported according to drillers table (Shipboard Scientific Party, 1985) and with positions of CC intervals from core logs
	Void correction [m] (Void corr) * PI: Dickens, Gerald Roy (eMail: jerry@rice.edu)
	Depth, sediment revised [m] (Depth revised) * PI: Dickens, Gerald Roy (eMail: jerry@rice.edu) * COMMENT: fix [mbsf], assuming average interval distance and the above
	Offset [m] (Offset) * PI: Dickens, Gerald Roy (eMail: jerry@rice.edu) * COMMENT: offset of cores from Table 2
	Depth, composite [mcd] (Depth c) * PI: Dickens, Gerald Roy (eMail: jerry@rice.edu) * COMMENT: adjusted, the depth of the sample in floating depth space [mcd] relative to m below seafloor
	delta 13C, carbonate [per mil PDB] (d13C carb) * PI: Shackleton, Nicholas J (URL: http://en.wikipedia.org/wiki/Nicholas_Shackleton)
	delta 18O, carbonate [per mil PDB] (d18O carb) * PI: Shackleton, Nicholas J (URL: http://en.wikipedia.org/wiki/Nicholas_Shackleton)
	Age model [ka] (Age model) * PI: Shackleton, Nicholas J (URL: http://en.wikipedia.org/wiki/Nicholas_Shackleton) * COMMENT: reported age
	Age model, optional [ka] (Age model opt) * PI: Dickens, Gerald Roy (eMail: jerry@rice.edu) * COMMENT: estimated age on Option 1 time by Westerhold et al. (2008) as determined by linear sedimentaton between six polarity chron reversals and data on a mcd depth scale
	Age model, optional [ka] (Age model opt) * PI: Dickens, Gerald Roy (eMail: jerry@rice.edu) * COMMENT: age as above, but assuming no core gaps and overlaps
	Comment (Comment) * PI: Dickens, Gerald Roy (eMail: jerry@rice.edu) * COMMENT: blue horizons are approximate positions of polarity chron reversals
License:	Creative Commons Attribution 3.0 Unported (CC-BY)
Size:	2115 data points
*/
Event	Label	Depth [m]	Depth top [m]	Void corr [m]	Depth revised [m]	Offset [m]	Depth c [mcd]	d13C carb [per mil PDB]	d18O carb [per mil PDB]	Age model [ka]	Age model opt [ka] (estimated age on Option 1 tim...)	Age model opt [ka] (age as above, but assuming no...)	Comment
86-577	86-577-8H-4,0-1	68.30	63.8	0.00	68.31	-2.6	65.71	2.13	0.12	52110	49240	49030	
86-577	86-577-8H-4,30-31	68.60	63.8	0.00	68.61	-2.6	66.01	2.13	0.00	52240	49330	49170	
86-577	86-577-8H-4,60-61	68.90	63.8	0.00	68.91	-2.6	66.31	2.30	0.32	52370	49430	49300	
86-577	86-577-8H-4,90-91	69.20	63.8	0.00	69.21	-2.6	66.61	2.16	-0.07	52510	49520	49440	
86-577	86-577-8H-4,120-121	69.50	63.8	0.00	69.51	-2.6	66.91	2.09	-0.27	52640	49610	49570	
86-577	86-577-8H-5,0-1	69.80	63.8	0.00	69.81	-2.6	67.21	2.07	-0.09	52780	49710	49710	Base C22n, 49.71 Ma
86-577	86-577-8H-5,30-31	70.10	63.8	0.00	70.11	-2.6	67.51	2.04	-0.24	52910	49800	49840	
86-577	86-577-8H-5,60-61	70.40	63.8	0.00	70.41	-2.6	67.81	1.95	-0.67	53040	49900	49980	
86-577	86-577-8H-5,90-91	70.70	63.8	0.00	70.71	-2.6	68.11	1.97	-0.41	53170	49990	50110	
86-577	86-577-8H-5,120-121	71.00	63.8	0.00	71.01	-2.6	68.41	2.00	-0.29	53310	50080	50250	
86-577	86-577-8H-6,0-1	71.30	63.8	0.00	71.31	-2.6	68.71	1.86	-0.59	53440	50180	50380	
86-577	86-577-8H-6,30-31	71.60	63.8	0.00	71.61	-2.6	69.01	1.60	-0.68	53570	50270	50520	
86-577	86-577-8H-6,60-61	71.90	63.8	0.00	71.91	-2.6	69.31	1.98	-0.42	53700	50360	50650	
86-577	86-577-8H-6,90-91	72.20	63.8	0.00	72.21	-2.6	69.61	1.77	-0.54	53840	50460	50790	
86-577	86-577-8H-6,120-121	72.50	63.8	0.00	72.51	-2.6	69.91	1.41	-0.79	53970	50550	50920	
86-577	86-577-8H-7,0-1	72.80	63.8	0.00	72.81	-2.6	70.21	1.90	-0.58	54100	50640	51060	
86-577	86-577-8H-CC (86-577-8H-8,17-18)	72.97	63.8	-1.37	73.11	-2.6	70.51	1.71	-0.35	54180	50740	51190	
86-577	86-577-9H-1,0-1	73.30	73.3	0.00	73.31	0.0	73.31	1.18	-0.67	54780	51610	51280	
86-577	86-577-9H-1,30-31	73.60	73.3	0.00	73.61	0.0	73.61	1.53	-0.58	54830	51710	51420	
86-577	86-577-9H-1,60-61	73.90	73.3	0.00	73.91	0.0	73.91	1.42	-0.52	54880	51800	51550	
86-577	86-577-9H-1,90-91	74.20	73.3	0.00	74.21	0.0	74.21	1.20	-0.46	54930	51890	51690	
86-577	86-577-9H-1,120-121	74.50	73.3	0.00	74.51	0.0	74.51	1.33	-0.49	54980	51990	51820	
86-577	86-577-9H-2,0-1	74.80	73.3	0.00	74.81	0.0	74.81	1.39	-0.45	55030	52080	51960	
86-577	86-577-9H-2,30-31	75.10	73.3	0.00	75.11	0.0	75.11	1.43	-0.48	55080	52170	52090	
86-577	86-577-9H-2,60-61	75.40	73.3	0.00	75.41	0.0	75.41	1.45	0.09	55130	52270	52230	
86-577	86-577-9H-2,90-91	75.70	73.3	0.00	75.71	0.0	75.71	1.29	-0.42	55180	52360	52360	Top C24n.1n, 52.36 Ma
86-577	86-577-9H-2,120-121	76.00	73.3	0.00	76.01	0.0	76.01	1.35	-0.19	55240	52480	52490	
86-577	86-577-9H-3,0-1	76.30	73.3	0.00	76.31	0.0	76.31	0.83	-0.67	55290	52590	52630	
86-577	86-577-9H-3,30-31	76.60	73.3	0.00	76.61	0.0	76.61	1.12	-0.60	55340	52710	52760	
86-577	86-577-9H-3,60-61	76.90	73.3	0.00	76.91	0.0	76.91	1.26	-0.44	55390	52820	52890	
86-577	86-577-9H-3,90-91	77.20	73.3	0.00	77.21	0.0	77.21	1.45	-0.65	55440	52940	53020	
86-577	86-577-9H-3,120-121	77.50	73.3	0.00	77.51	0.0	77.51	1.33	-0.42	55500	53050	53160	
86-577	86-577-9H-4,0-1	77.80	73.3	0.00	77.81	0.0	77.81	1.64	-0.68	55550	53160	53290	
86-577	86-577-9H-4,30-31	78.10	73.3	0.00	78.11	0.0	78.11	1.55	-0.45	55600	53280	53420	
86-577	86-577-9H-4,60-61	78.40	73.3	0.00	78.41	0.0	78.41	1.31	-0.41	55650	53390	53550	
86-577	86-577-9H-4,90-91	78.70	73.3	0.00	78.71	0.0	78.71	1.55	-0.32	55740	53510	53690	
86-577	86-577-9H-4,120-121	79.00	73.3	0.00	79.01	0.0	79.01	1.61	-0.27	55840	53620	53820	
86-577	86-577-9H-5,0-1	79.30	73.3	0.00	79.31	0.0	79.31	1.09	-0.46	55930	53740	53950	
86-577	86-577-9H-5,30-31	79.60	73.3	0.00	79.61	0.0	79.61	1.21	-0.22	56030	53850	54080	
86-577	86-577-9H-5,60-61	79.90	73.3	0.00	79.91	0.0	79.91	1.58	-0.54	56120	53970	54210	
86-577	86-577-9H-5,90-91	80.20	73.3	0.00	80.21	0.0	80.21	1.72	-0.62	56330	54080	54350	
86-577	86-577-9H-5,113-114	80.43	73.3	0.00	80.44	0.0	80.44	2.08	-0.68	56510	54170	54450	
86-577	86-577-9H-6,0-1	80.80	73.3	0.00	80.81	0.0	80.81	2.07	-0.61	56790	54310	54610	
86-577	86-577-9H-6,30-31	81.10	73.3	0.00	81.11	0.0	81.11	1.90	-0.81	57020	54430	54740	
86-577	86-577-9H-6,60-61	81.40	73.3	0.00	81.41	0.0	81.41	2.08	-0.87	57250	54540	54880	
86-577	86-577-9H-6,90-91	81.70	73.3	0.00	81.71	0.0	81.71	2.17	-0.86	57490	54660	55010	
